frame,cls,r_mean,g_mean,b_mean,r_range,g_range,b_range,r_var,g_var,b_var,x_average,y_average,height,width,area,entropy,r_skewness,g_skewness,b_skewness,r_kurtosis,g_kurtosis,b_kurtosis,luminance,xmin,xmax,ymin,ymax
10815,0,108.36289828431372,101.29743668300654,100.75423815359476,255,255,255,5449.071276648851,5742.25083901745,5539.672086817268,404.63275146484375,262.26055908203125,96,204,19539.72550941538,4.692497752070497,0.5602642657495661,0.5112509108985149,0.4216408279577854,-0.8226878607836379,-0.8274618950744719,-0.920442729939368,102.75968265931373,302,506,214,310
10818,0,136.47980347365748,121.0597737408898,112.60720113129555,254,255,255,5441.936999184925,5062.290364516279,3971.214975519831,222.89114379882807,454.0931396484375,317,174,55147.59208970564,3.947733839173511,-0.3739044694401198,-0.2730872277985209,-0.2279005045723529,-1.1772709231583305,-1.1018411981066805,-0.8697577620261105,123.7270995739512,135,309,295,612
10818,0,47.18014049743688,36.17125498386178,38.65319916460984,252,255,255,1933.7212611915304,1644.9459517761784,1638.4044681212165,114.62710571289062,288.0186767578125,115,229,26285.66605241969,3.761653325288969,1.7304902585707256,1.7873774708622263,1.708030991016276,2.681682220878334,3.028927621506897,2.881546565147897,38.68959133092842,0,229,230,345
10818,0,103.26273148148148,87.53501157407408,84.6875,233,202,200,2524.209328650132,2543.5155565970927,2316.786024305556,1103.50439453125,194.60775756835935,96,36,3437.73447978124,5.093282103026329,0.4779540248413684,0.4486153623053192,0.4316905247129246,-1.002214837997497,-1.1199220010855762,-1.069576839817705,90.67184646990742,1085,1121,146,242
10818,0,115.40932494279176,108.13615560640731,108.42191075514874,247,237,242,2197.2309084687827,2559.264642428878,2865.953284220869,1070.2642822265625,193.13558959960935,92,38,3496.4191664643586,5.241177540578301,0.6476284506163705,0.6763462261166305,0.7855253839530884,-0.2400140864709667,-0.297759815407137,-0.0938763441539389,109.70230703661328,1051,1089,147,239
10818,0,99.38307493540051,87.07461240310077,83.79909560723515,193,189,175,1698.111005531854,1801.658838674052,1562.292970758306,915.1534423828124,203.38653564453125,86,36,3059.398159998469,4.727660355670533,0.4561499096779595,0.4078274898846444,0.326015128210986,-0.7693067250984154,-0.8164234775598516,-0.8251315517579578,89.45399593023255,897,933,160,246
10818,0,118.68179239931936,106.97787861599546,101.52164870485916,237,243,255,3087.354784762354,3780.698508564568,3820.179952963344,727.8323974609375,263.0275573730469,123,43,5282.295780981891,4.869233629602593,0.6534221010109766,0.5704652240898924,0.4118695024442918,-0.5771902846812318,-0.7640186339172534,-1.035826300041369,109.07156611835886,706,749,201,324
10818,0,145.79016666666666,142.96666666666667,138.1255,216,222,235,2615.8354699722017,2726.988888888928,2752.062083083308,833.22216796875,252.4624938964844,120,50,6021.241249829531,4.5414164792503575,-0.1031767022065146,-0.2160370741839866,-0.3343063093128702,-0.9680817826377082,-0.7429924705111186,-0.498313112907736,143.2176123,808,858,192,312
10818,0,129.9582827260459,113.15435222672065,100.76039136302296,235,229,225,2824.812480317173,2684.8529297759783,1984.252034395112,427.6690979003906,769.9100952148438,285,208,59440.81096069515,3.7069569626469407,-0.4525009250188512,-0.3481296769536456,-0.2821139132422705,-1.067463017229728,-1.0666678796669204,-0.7975826428340569,115.83158287955466,323,531,627,912
10818,0,108.81044533639144,101.97027905198776,101.9854740061162,255,255,255,5285.779101521753,5583.994051680488,5398.514983949725,398.2247314453125,262.58612060546875,96,218,20958.411976167,4.669638866697775,0.5330208138082612,0.4778270294542932,0.3663394352694743,-0.7914288562268306,-0.8061135045913703,-0.9128550032950208,103.4249099436162,289,507,214,310
